Alternatif,Rank Konvesnional,Rank Fuzzy AHP,Keterangan,Selisih Index
M064,198,203,Lebih Tinggi,5
M028,155,204,Lebih Tinggi,49
M111,187,205,Lebih Tinggi,18
M178,200,206,Lebih Tinggi,6
M138,199,207,Lebih Tinggi,8
M109,209,208,Lebih Rendah,1
M043,201,209,Lebih Tinggi,8
M147,210,210,Sama,0
M022,208,211,Lebih Tinggi,3
M066,212,212,Sama,0
